x,y_hyd,y_fso,y_wat
1.685,0.0,0.00823173515981735,0.017436902043922592
1.6949999999999998,0.0,0.008577625570776256,0.017515533268101763
1.705,0.0,0.008992009132420091,0.01758893237660361
1.7149999999999999,0.0,0.009070205479452054,0.017598662752772342
1.725,0.0,0.009466324200913243,0.01760139432485323
1.7349999999999999,6.849315068493151e-06,0.00979851598173516,0.017547938410524027
1.745,3.938356164383562e-05,0.010003424657534246,0.017457660632746248
1.755,2.910958904109589e-05,0.010536529680365296,0.017335976570993693
1.7650000000000001,2.910958904109589e-05,0.010925228310502282,0.017219932322243964
1.775,5.136986301369863e-05,0.011085616438356165,0.017070151119808655
1.7850000000000001,6.678082191780822e-05,0.011457762557077625,0.016878662480974124
1.795,8.904109589041096e-05,0.011875,0.01664187866927593
1.8050000000000002,9.58904109589041e-05,0.012421232876712329,0.016395384866275276
1.815,0.0001113013698630137,0.012608447488584475,0.016119978527940858
1.8250000000000002,0.00013356164383561644,0.01291095890410959,0.015815034518373558
1.835,0.00010445205479452055,0.013258561643835617,0.01553461350293542
1.8450000000000002,0.00011301369863013699,0.013501141552511416,0.015209359371602522
1.855,0.00011301369863013699,0.014054794520547946,0.014835004892367906
1.8650000000000002,0.00014383561643835615,0.014235159817351599,0.014505972765818656
1.875,0.00019863013698630136,0.014351598173515981,0.014123926397042835
1.8850000000000002,0.0002534246575342466,0.014416095890410959,0.01372878614916286
1.895,0.00023458904109589042,0.01464497716894977,0.013291034735812134
1.9050000000000002,0.0002773972602739726,0.01478824200913242,0.01287833632311372
1.915,0.00033732876712328766,0.014812214611872146,0.012462301587301588
1.9249999999999998,0.0004297945205479452,0.014921803652968036,0.012052069743422484
1.935,0.0005376712328767124,0.01509703196347032,0.011601632148293108
1.9449999999999998,0.0004965753424657534,0.01508162100456621,0.01113747553816047
1.955,0.0006164383561643835,0.015093607305936074,0.010688118340943683
1.9649999999999999,0.0007345890410958904,0.015033675799086758,0.010283927212437486
1.975,0.0008270547945205479,0.015212328767123287,0.009817929169384648
1.9849999999999999,0.0011695205479452055,0.015072488584474885,0.009399203631224179
1.995,0.0012003424657534246,0.014871004566210046,0.008968253968253969
2.005,0.0013613013698630138,0.015033675799086758,0.008558239562948468
2.015,0.0015496575342465754,0.014876141552511416,0.00814196020874103
2.0250000000000004,0.0017482876712328766,0.014760844748858448,0.007707178190911068
2.035,0.0018202054794520548,0.014695205479452056,0.007319634703196347
2.045,0.0021027397260273972,0.014460616438356165,0.006924847792998478
2.0549999999999997,0.0024075342465753424,0.014304223744292237,0.006520860513155034
